,SHSZ300 Index
2021-10-08,4929.94
2021-10-11,4936.19
2021-10-12,4883.84
2021-10-13,4940.11
2021-10-14,4913.61
2021-10-15,4932.11
2021-10-18,4874.77
2021-10-19,4922.72
2021-10-20,4910.18
2021-10-21,4928.02
2021-10-22,4959.73
2021-10-25,4979.52
2021-10-26,4963.1
2021-10-27,4898.16
2021-10-28,4864.14
2021-10-29,4908.77
2021-11-01,4890.69
2021-11-02,4839.85
2021-11-03,4821.11
2021-11-04,4868.74
2021-11-05,4842.35
2021-11-08,4848.18
2021-11-09,4846.74
2021-11-10,4821.19
2021-11-11,4898.65
2021-11-12,4888.38
2021-11-15,4882.38
2021-11-16,4883.32
2021-11-17,4885.75
2021-11-18,4837.62
2021-11-19,4890.06
2021-11-22,4912.4
2021-11-23,4913.35
2021-11-24,4916.66
2021-11-25,4896.44
2021-11-26,4860.13
2021-11-29,4851.42
2021-11-30,4832.03
2021-12-01,4843.85
2021-12-02,4856.16
2021-12-03,4901.02
2021-12-06,4892.62
2021-12-07,4922.1
2021-12-08,4995.93
2021-12-09,5078.69
2021-12-10,5055.12
2021-12-13,5083.8
2021-12-14,5049.7
2021-12-15,5005.9
2021-12-16,5034.73
2021-12-17,4954.76
2021-12-20,4880.42
2021-12-21,4913.49
2021-12-22,4914.46
2021-12-23,4948.74
2021-12-24,4921.35
2021-12-27,4919.32
2021-12-28,4955.96
2021-12-29,4883.48
2021-12-30,4921.51
2021-12-31,4940.37
2022-01-04,4917.77
2022-01-05,4868.12
2022-01-06,4818.23
2022-01-07,4822.37
2022-01-10,4844.05
2022-01-11,4797.77
2022-01-12,4845.58
2022-01-13,4765.92
2022-01-14,4726.73
2022-01-17,4767.28
2022-01-18,4813.35
2022-01-19,4780.38
2022-01-20,4823.51
2022-01-21,4779.31
2022-01-24,4786.74
2022-01-25,4678.45
2022-01-26,4712.31
2022-01-27,4619.88
2022-01-28,4563.77
2022-02-07,4634.09
2022-02-08,4608.77
2022-02-09,4652.06
2022-02-10,4639.86
2022-02-11,4601.4
2022-02-14,4551.69
2022-02-15,4600.1
2022-02-16,4617.99
2022-02-17,4629.17
2022-02-18,4651.24
2022-02-21,4634.31
2022-02-22,4574.15
2022-02-23,4623.05
2022-02-24,4529.32
2022-02-25,4573.43
2022-02-28,4581.65
2022-03-01,4619.69
2022-03-02,4578.6
2022-03-03,4551.63
2022-03-04,4496.43
2022-03-07,4352.78
2022-03-08,4265.39
2022-03-09,4226.35
2022-03-10,4292.84
2022-03-11,4306.52
2022-03-14,4174.76
2022-03-15,3983.81
2022-03-16,4156.08
2022-03-17,4237.7
2022-03-18,4265.9
2022-03-21,4258.75
2022-03-22,4255.3
2022-03-23,4276.52
2022-03-24,4251.31
2022-03-25,4174.57
2022-03-28,4148.47
2022-03-29,4134.14
2022-03-30,4254.1
2022-03-31,4222.6
2022-04-01,4276.16
2022-04-06,4263.84
2022-04-07,4209.1
2022-04-08,4230.77
2022-04-11,4100.07
2022-04-12,4179.97
2022-04-13,4139.74
2022-04-14,4191.57
2022-04-15,4188.75
2022-04-18,4166.38
2022-04-19,4134.9
2022-04-20,4070.79
2022-04-21,3995.83
2022-04-22,4013.25
2022-04-25,3814.91
2022-04-26,3784.12
2022-04-27,3895.54
2022-04-28,3921.11
2022-04-29,4016.24
2022-05-05,4010.21
2022-05-06,3908.82
2022-05-09,3877.44
2022-05-10,3919.87
2022-05-11,3976.42
2022-05-12,3958.74
2022-05-13,3988.6
2022-05-16,3956.54
2022-05-17,4005.89
2022-05-18,3991.91
2022-05-19,3999.6
2022-05-20,4077.6
2022-05-23,4053.98
2022-05-24,3959.15
2022-05-25,3983.18
2022-05-26,3993.04
2022-05-27,4001.3
2022-05-30,4029.02
2022-05-31,4091.52
2022-06-01,4083.18
2022-06-02,4089.57
